"name";"footprint";"board name";"quantity"
"100nF";"C_0402_1005Metric";"C19,C8,C17,C11,C5,C6,C12,C9,C4,C7,C3";"11"
"1uF";"C_0402_1005Metric";"C2,C13,C1,C10";"4"
"USBLC6-2SC6";"SOT-23-6";"U6,U7";"2"
"AP2112K-3.3";"SOT-23-5";"U3";"1"
"22uF";"C_0402_1005Metric";"C18";"1"
"TPS2041B";"SOT-23-5";"U5";"1"
"USB_A";"USB3_A_Receptacle_Wuerth_692122030100";"J2";"1"
"R";"R_0402_1005Metric";"R2,R1";"2"
"BOOT";"SW_SPST_TS-1088-xR025";"SW1";"1"
"1k";"R_0402_1005Metric";"R7,R3,R4";"3"
"15k";"R_0402_1005Metric";"R9,R8";"2"
"RUN";"SW_SPST_TS-1088-xR025";"SW2";"1"
"10k";"R_0402_1005Metric";"R6,R5";"2"
"USB_A";"USB3_A_Plug_Wuerth_692112030100_Horizontal";"J1";"1"
"W25Q32JVSS";"SOIC-8_5.3x5.3mm_P1.27mm";"U4";"1"
"15pF";"C_0402_1005Metric";"C15,C16";"2"
"ABM8-272-T3";"Crystal_SMD_3225-4Pin_3.2x2.5mm";"Y1";"1"
"RP2040";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";"U1";"1"
